sku,name,description,active
PROD001,Laptop Computer,High-performance laptop with 16GB RAM,true
PROD002,Wireless Mouse,Ergonomic wireless mouse with USB receiver,true
PROD003,Mechanical Keyboard,RGB mechanical keyboard with blue switches,true
PROD004,USB-C Cable,2-meter USB-C charging cable,true
PROD005,Monitor Stand,Adjustable monitor stand with storage,false
PROD006,Webcam HD,1080p HD webcam with built-in microphone,true
PROD007,Desk Lamp,LED desk lamp with adjustable brightness,true
PROD008,Phone Holder,Universal phone holder for desk,true
PROD009,Cable Organizer,Cable management box for desk setup,true
PROD010,Laptop Sleeve,Protective laptop sleeve 15 inch,false